Compound,Isomer,Breed,Parity,Feed_Type,Scenario,GOF_Passed,Exposure_Stop_Day,Total_Days,Milk_Conc_End_Exposure,t50_depuration_days,t90_depuration_days,t_below_reg_limit_days
PFDS,Branched,Saanen,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.0044294886827559304,213.0388860749783,240.36666408058807,
PFDS,Branched,Saanen,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.0032112656595446156,,,
PFDS,Branched,Saanen,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.0032112656595446156,,,
PFDS,Branched,Saanen,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.003688629979146193,213.30644549674517,241.23311765809487,
PFDS,Branched,Saanen,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0016056328297723078,,,
PFDS,Branched,Saanen,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0016056328297723078,,,
PFDS,Branched,Saanen,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0018443149895730965,213.30644549674517,241.23311765809487,
PFDS,Branched,Saanen,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.0032112656595446156,,,
PFDS,Branched,Saanen,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.0032112656595446156,,,
PFDS,Branched,Saanen,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.003688629979146193,213.30644549674517,241.23311765809487,
PFDS,Linear,Alpine,primiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.004161440384799617,,,
PFDS,Linear,Alpine,primiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.004161440384799617,,,
PFDS,Linear,Alpine,primiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.005207317651515209,211.5777120911277,235.4665121001146,
PFDS,Linear,Alpine,primiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0020807201923998086,,,
PFDS,Linear,Alpine,primiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0020807201923998086,,,
PFDS,Linear,Alpine,primiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0026036588257576047,211.5777120911277,235.4665121001146,
PFDS,Linear,Alpine,primiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.004161440384799617,,,
PFDS,Linear,Alpine,primiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.004161440384799617,,,
PFDS,Linear,Alpine,primiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.005207317651515209,211.5777120911277,235.4665121001146,
PFDS,Linear,Alpine,multiparous,grass_silage,EXPO_LOW,1.0,300.0,300.0,0.0038506111256882435,,,
PFDS,Linear,Alpine,multiparous,grass_silage,EXPO_HIGH,1.0,300.0,300.0,0.0038506111256882435,,,
PFDS,Linear,Alpine,multiparous,grass_silage,EXPO_DEP,1.0,200.0,300.0,0.0044578392456760185,211.7961023532935,236.18474376726152,
PFDS,Linear,Alpine,multiparous,maize_silage,EXPO_LOW,1.0,300.0,300.0,0.0019253055628441218,,,
PFDS,Linear,Alpine,multiparous,maize_silage,EXPO_HIGH,1.0,300.0,300.0,0.0019253055628441218,,,
PFDS,Linear,Alpine,multiparous,maize_silage,EXPO_DEP,1.0,200.0,300.0,0.0022289196228380092,211.7961023532935,236.18474376726152,
PFDS,Linear,Alpine,multiparous,lucerne,EXPO_LOW,1.0,300.0,300.0,0.0038506111256882435,,,
PFDS,Linear,Alpine,multiparous,lucerne,EXPO_HIGH,1.0,300.0,300.0,0.0038506111256882435,,,
PFDS,Linear,Alpine,multiparous,lucerne,EXPO_DEP,1.0,200.0,300.0,0.0044578392456760185,211.7961023532935,236.18474376726152,
