Matrix,Compound,Isomer,Mean_Partition_Coefficient
Spleen,PFUnDS,Total,0.2399668841690288
Spleen,SD PFCA,Linear,0.2399668841690288
Spleen,SD PFSA,Linear,0.2399668841690288
Spleen,Summe PFCA,Linear,0.2399668841690288
Spleen,Summe PFSA,Linear,0.2568565195249514
Spleen,√((∑SD)^2/Anzahl PFAS),Linear,0.2399668841690288
Liver,PFNA,Linear,4.4279265759441495
Kidney,PFNA,Linear,0.5513244581463619
Lung,PFNA,Linear,0.5256890715667312
Spleen,PFNA,Linear,0.2399668841690288
Heart,PFNA,Linear,0.288135593220339
Muscle,PFNA,Linear,0.08080306405512933
Brain,PFNA,Linear,0.7197548954260452
Liver,PFBS,Linear,4.4279265759441495
Kidney,PFBS,Linear,0.5513244581463619
Lung,PFBS,Linear,0.5256890715667312
Spleen,PFBS,Linear,0.2399668841690288
Heart,PFBS,Linear,0.288135593220339
Muscle,PFBS,Linear,0.08080306405512933
Brain,PFBS,Linear,0.7197548954260452
Liver,PFPeS,Linear,4.4279265759441495
Kidney,PFPeS,Linear,0.5513244581463619
Lung,PFPeS,Linear,0.5256890715667312
Spleen,PFPeS,Linear,0.2399668841690288
Heart,PFPeS,Linear,0.288135593220339
Muscle,PFPeS,Linear,0.08080306405512933
Brain,PFPeS,Linear,0.7197548954260452
Liver,PFHpA,Branched,4.4279265759441495
Kidney,PFHpA,Branched,0.5513244581463619
Lung,PFHpA,Branched,0.5256890715667312
Spleen,PFHpA,Branched,0.2399668841690288
Heart,PFHpA,Branched,0.288135593220339
Muscle,PFHpA,Branched,0.08080306405512933
Brain,PFHpA,Branched,0.7197548954260452
Liver,PFNA,Branched,4.4279265759441495
Kidney,PFNA,Branched,0.5513244581463619
Lung,PFNA,Branched,0.5256890715667312
Spleen,PFNA,Branched,0.2399668841690288
Heart,PFNA,Branched,0.288135593220339
Muscle,PFNA,Branched,0.08080306405512933
Brain,PFNA,Branched,0.7197548954260452
Liver,PFDA,Branched,4.4279265759441495
Kidney,PFDA,Branched,0.5513244581463619
Lung,PFDA,Branched,0.5256890715667312
Spleen,PFDA,Branched,0.2399668841690288
Heart,PFDA,Branched,0.288135593220339
Muscle,PFDA,Branched,0.08080306405512933
Brain,PFDA,Branched,0.7197548954260452
Liver,PFUnDA,Branched,4.4279265759441495
