Animal,Compound,Isomer,total_intake,auc_milk_amount,auc_urine_amount,auc_feces_amount,total_body_burden,total_eliminated,mass_balance,unaccounted,transfer_rate_milk,transfer_rate_urine,transfer_rate_feces
E3,PFHxA,Linear,759.3025713602635,0.0,130.50237942563925,0.0,0.0,130.50237942563925,0.17187137821994844,628.8001919346243,0.0,0.17187137821994844,0.0
E4,PFHxA,Linear,709.7070765032554,0.0,152.40982254591705,0.0,0.0,152.40982254591705,0.21475032107167943,557.2972539573384,0.0,0.21475032107167943,0.0
E2,PFHxA,Total,,,231.76467857147335,0.0,0.0,,,,,,
E3,PFHxA,Total,,,137.5073676703798,0.0,0.0,,,,,,
E4,PFHxA,Total,,,159.87479344612524,0.0,0.0,,,,,,
E2,PFHxS,Branched,19.882904848743873,0.0,0.0,0.0,0.0,0.0,0.0,19.882904848743873,0.0,0.0,0.0
E3,PFHxS,Branched,19.32515100852984,0.0,0.0,0.0,0.0,0.0,0.0,19.32515100852984,0.0,0.0,0.0
E4,PFHxS,Branched,18.080648214784453,0.0,0.0,0.0,0.0,0.0,0.0,18.080648214784453,0.0,0.0,0.0
E2,PFHxS,Linear,73.06997479303185,0.8343119671980206,71.91132441157299,0.0,0.0,72.74563637877101,0.9955612628144527,0.3243384142608363,0.011417986246213716,0.984143276568239,0.0
E3,PFHxS,Linear,70.95547629472317,0.5789198472816572,68.94673469232842,0.0,0.0,69.52565453961007,0.9798490288589687,1.429821755113096,0.008158917077478775,0.97169011178149,0.0
E4,PFHxS,Linear,66.43018881210554,0.7088970642683198,37.02936606957434,0.0,0.0,37.73826313384266,0.5680890542187595,28.691925678262884,0.01067130888749089,0.5574177453312686,0.0
E2,PFHxS,Total,,,75.6921511419396,0.0,0.0,,,,,,
E3,PFHxS,Total,,,34.47336734616421,0.0,0.0,,,,,,
E4,PFHxS,Total,,,37.02936606957434,0.0,0.0,,,,,,
E2,PFNA,Branched,13.211256731913005,0.0277250336648323,0.0,0.0,0.0,0.0277250336648323,0.0020985916955091736,13.183531698248173,0.0020985916955091736,0.0,0.0
E3,PFNA,Branched,12.88470911868579,0.015449745949002749,0.0,0.0,0.0,0.015449745949002749,0.0011990760370831396,12.869259372736787,0.0011990760370831396,0.0,0.0
