Animal,Compound,Isomer,max_day,frac,rmse_all_days,rmse_nonzero_days
E3,PFUnDS,Linear,140,0.6,8.45131909601649,12.332029244301435
E3,PFUnDS,Linear,140,0.6666666666666666,8.928343803103097,13.020690279196373
E3,PFUnDS,Linear,140,0.7,9.043159325359523,13.167643407737188
E3,PFUnDS,Linear,140,0.8,9.244346352784495,13.317015414187248
E3,PFUnDS,Linear,140,0.9,9.304668292216146,13.169992272677723
E4,PFBA,Linear,140,0.2,0.0,0.0
E4,PFBA,Linear,140,0.3,91.90695070416704,145.0336829715345
E4,PFBA,Linear,140,0.4,99.64924403673335,150.26753585308217
E4,PFBA,Linear,140,0.5,112.99086733245548,172.45555995921114
E4,PFBA,Linear,140,0.6,129.84531029276997,198.88096348336333
E4,PFBA,Linear,140,0.6666666666666666,133.67975417043064,204.35892949430323
E4,PFBA,Linear,140,0.7,134.01969049067293,204.5675149630958
E4,PFBA,Linear,140,0.8,133.239105783514,201.74269517983578
E4,PFBA,Linear,140,0.9,131.81438333737765,196.58972506437706
E4,PFBS,Linear,140,0.2,0.0,0.0
E4,PFBS,Linear,140,0.3,0.2873386249018912,0.45363532994024813
E4,PFBS,Linear,140,0.4,0.3098258183856298,0.473202416368904
E4,PFBS,Linear,140,0.5,0.34488275486837605,0.5268655209603094
E4,PFBS,Linear,140,0.6,0.40199008729016344,0.6163011872120304
E4,PFBS,Linear,140,0.6666666666666666,0.4117740661400111,0.6294734366676297
E4,PFBS,Linear,140,0.7,0.4118403430717211,0.628765595387531
E4,PFBS,Linear,140,0.8,0.4094597657897779,0.621808290128611
E4,PFBS,Linear,140,0.9,0.4036759525642546,0.6033533042441988
E4,PFCAs,Branched,140,0.2,0.0,0.0
E4,PFCAs,Branched,140,0.3,6.298308216613327,9.955854438714562
E4,PFCAs,Branched,140,0.4,6.305961928434377,9.713319406831369
E4,PFCAs,Branched,140,0.5,6.894632878557408,10.66524760151117
E4,PFCAs,Branched,140,0.6,7.936382447790496,12.333465880976876
E4,PFCAs,Branched,140,0.6666666666666666,8.272104029944838,12.854457507044819
E4,PFCAs,Branched,140,0.7,8.291412182881238,12.87258337477942
E4,PFCAs,Branched,140,0.8,8.237069616698834,12.742231626991776
E4,PFCAs,Branched,140,0.9,8.14991385914206,12.552723186901277
E4,PFCAs,Linear,140,0.2,0.0,0.0
E4,PFCAs,Linear,140,0.3,268.44750317945454,425.9629947968736
E4,PFCAs,Linear,140,0.4,154.55165312782793,235.3291098089276
E4,PFCAs,Linear,140,0.5,170.44656138968105,261.5749136427454
E4,PFCAs,Linear,140,0.6,198.5556742198974,305.84473019268603
E4,PFCAs,Linear,140,0.6666666666666666,204.59618622719813,314.6655677475805
E4,PFCAs,Linear,140,0.7,205.0653580365009,314.96833869130427
E4,PFCAs,Linear,140,0.8,203.4865395225482,310.5755788883912
E4,PFCAs,Linear,140,0.9,200.86977562714625,303.1477043678338
E4,PFDA,Branched,140,0.2,0.0,0.0
E4,PFDA,Branched,140,0.3,0.050263051924588846,0.07936817746490843
E4,PFDA,Branched,140,0.4,0.05400919299704917,0.08293311939725347
E4,PFDA,Branched,140,0.5,0.060662478717203414,0.09235164824812357
E4,PFDA,Branched,140,0.6,0.07121280990590867,0.10901558655544767
E4,PFDA,Branched,140,0.6666666666666666,0.07282916284142485,0.11124239392221688
E4,PFDA,Branched,140,0.7,0.07294557375140197,0.11129064259628259
E4,PFDA,Branched,140,0.8,0.07243255956436112,0.10989197189458776
E4,PFDA,Branched,140,0.9,0.07151228536754539,0.10664219644870027
E4,PFDA,Linear,140,0.2,0.0,0.0
E4,PFDA,Linear,140,0.3,0.45028315836371374,0.651666050857378
